Project_SK,Report_SK,Report_Date,Original_Cost,Revised_Cost,Cumulative_Expenditure,Physical_Progress_Pct,Financial_Progress_Pct,Physical_Financial_Divergence,Target_Delayed_Future
1,SRC_0014,2025-07-01,108000.0,108000.0,78691.0,53.0,,,0.0
1,SRC_0010,2025-08-01,108000.0,108000.0,79919.0,53.0,,,0.0
1,SRC_0021,2025-09-01,108000.0,108000.0,81243.0,54.0,,,0.0
1,SRC_0020,2025-10-01,108000.0,108000.0,82968.0,55.0,,,0.0
1,SRC_0019,2025-11-01,108000.0,108000.0,84200.0,55.0,,,0.0
1,SRC_0011,2025-12-01,108000.0,108000.0,85338.0,56.0,,,0.0
1,SRC_0013,2026-01-01,108000.0,108000.0,86793.0,57.0,,,0.0
1,SRC_0012,2026-02-01,108000.0,108000.0,87755.0,58.0,,,0.0
2,SRC_0014,2025-07-01,63246.0,,47163.0,0.0,,,0.0
2,SRC_0010,2025-08-01,63246.0,,26410.0,45.0,,,0.0
2,SRC_0021,2025-09-01,63246.0,,27456.0,46.0,,,0.0
2,SRC_0020,2025-10-01,63246.0,,28779.0,47.0,,,0.0
2,SRC_0019,2025-11-01,63246.0,,29336.0,47.0,,,0.0
2,SRC_0011,2025-12-01,63246.0,,30211.0,48.0,,,0.0
2,SRC_0013,2026-01-01,63246.0,,30722.0,48.0,,,0.0
2,SRC_0012,2026-02-01,63246.0,,31451.0,49.0,,,0.0
3,SRC_0014,2025-07-01,51101.0,124005.0,124623.0,96.0,,,0.0
3,SRC_0010,2025-08-01,51101.0,124005.0,124623.0,96.0,,,0.0
3,SRC_0021,2025-09-01,51101.0,124005.0,124623.0,96.0,,,0.0
3,SRC_0020,2025-10-01,51101.0,124005.0,124623.0,96.0,,,0.0
3,SRC_0019,2025-11-01,51101.0,124005.0,124623.0,96.0,,,0.0
3,SRC_0011,2025-12-01,51101.0,124005.0,124623.0,96.0,,,0.0
3,SRC_0013,2026-01-01,51101.0,124005.0,124623.0,96.0,,,0.0
3,SRC_0012,2026-02-01,51101.0,124005.0,124623.0,96.0,,,0.0
4,SRC_0014,2025-07-01,38953.0,38953.0,24645.0,65.0,,,0.0
4,SRC_0010,2025-08-01,38953.0,38953.0,24645.0,65.0,,,0.0
4,SRC_0021,2025-09-01,38953.0,38953.0,24645.0,65.0,,,0.0
4,SRC_0020,2025-10-01,38953.0,38953.0,24645.0,65.0,,,0.0
4,SRC_0019,2025-11-01,38953.0,38953.0,24645.0,65.0,,,0.0
4,SRC_0011,2025-12-01,38953.0,38953.0,26841.0,72.0,,,0.0
4,SRC_0013,2026-01-01,38953.0,38953.0,27546.0,72.0,,,0.0
4,SRC_0012,2026-02-01,38953.0,38953.0,27881.0,73.0,,,0.0
5,SRC_0014,2025-07-01,33690.0,33690.0,2246.0,16.0,,,0.0
5,SRC_0010,2025-08-01,33690.0,33690.0,2303.0,16.0,,,0.0
5,SRC_0021,2025-09-01,33690.0,33690.0,2361.0,16.0,,,0.0
5,SRC_0020,2025-10-01,33690.0,33690.0,2436.0,16.0,,,0.0
5,SRC_0019,2025-11-01,33690.0,33690.0,2805.0,16.0,,,0.0
5,SRC_0011,2025-12-01,33690.0,33690.0,2922.0,20.0,,,0.0
5,SRC_0013,2026-01-01,33690.0,33690.0,3070.0,20.0,,,0.0
5,SRC_0012,2026-02-01,33690.0,33690.0,3218.0,20.0,,,0.0
6,SRC_0014,2025-07-01,43367.0,43367.0,1789.0,13.0,,,0.0
6,SRC_0010,2025-08-01,43367.0,43367.0,1856.0,14.0,,,0.0
6,SRC_0021,2025-09-01,43367.0,43367.0,1914.0,15.0,,,0.0
6,SRC_0020,2025-10-01,43367.0,43367.0,1955.0,16.0,,,0.0
6,SRC_0019,2025-11-01,43367.0,43367.0,2033.0,17.0,,,0.0
6,SRC_0011,2025-12-01,43367.0,43367.0,2593.0,18.0,,,0.0
6,SRC_0013,2026-01-01,43367.0,43367.0,2704.0,19.0,,,0.0
6,SRC_0012,2026-02-01,43367.0,43367.0,2940.0,21.0,,,0.0
7,SRC_0014,2025-07-01,43129.0,72937.0,59524.0,87.0,,,0.0
7,SRC_0010,2025-08-01,43129.0,79459.0,60295.0,88.0,,,0.0
7,SRC_0021,2025-09-01,43129.0,79459.0,60545.0,88.0,,,0.0
7,SRC_0020,2025-10-01,43129.0,79459.0,61927.0,89.0,,,0.0
7,SRC_0019,2025-11-01,43129.0,79459.0,62888.0,89.0,,,0.0
7,SRC_0011,2025-12-01,43129.0,79459.0,63572.0,90.0,,,0.0
7,SRC_0013,2026-01-01,43129.0,79459.0,64516.0,90.0,,,0.0
7,SRC_0012,2026-02-01,43129.0,79459.0,66553.0,91.0,,,0.0
8,SRC_0014,2025-07-01,34627.0,36225.0,23977.0,88.0,,,0.0
8,SRC_0010,2025-08-01,34627.0,36225.0,24355.0,89.0,,,0.0
8,SRC_0021,2025-09-01,34627.0,36225.0,25029.0,89.0,,,0.0
8,SRC_0020,2025-10-01,34627.0,36225.0,26555.0,90.0,,,0.0
8,SRC_0019,2025-11-01,34627.0,36225.0,27366.0,91.0,,,0.0
8,SRC_0011,2025-12-01,34627.0,36225.0,27829.0,91.0,,,0.0
8,SRC_0013,2026-01-01,34627.0,36225.0,26028.0,92.0,,,0.0
8,SRC_0012,2026-02-01,34627.0,36225.0,26028.0,92.0,,,0.0
9,SRC_0014,2025-07-01,34012.0,34012.0,35498.0,96.0,,,0.0
9,SRC_0010,2025-08-01,34012.0,34012.0,33238.0,96.0,,,0.0
9,SRC_0021,2025-09-01,34012.0,34012.0,33239.0,96.0,,,0.0
9,SRC_0020,2025-10-01,34012.0,34012.0,32184.0,96.0,,,0.0
9,SRC_0019,2025-11-01,34012.0,34012.0,32250.0,96.0,,,0.0
9,SRC_0011,2025-12-01,34012.0,34012.0,32374.0,96.0,,,0.0
9,SRC_0013,2026-01-01,34012.0,34012.0,32559.0,96.0,,,0.0
9,SRC_0012,2026-02-01,34012.0,34012.0,32765.0,96.0,,,0.0
10,SRC_0014,2025-07-01,31876.0,,3436.0,16.0,,,0.0
10,SRC_0010,2025-08-01,31876.0,,3554.0,16.0,,,0.0
10,SRC_0021,2025-09-01,31876.0,,3639.0,16.0,,,0.0
10,SRC_0020,2025-10-01,31876.0,,3709.0,16.0,,,0.0
10,SRC_0019,2025-11-01,31876.0,,3777.0,16.0,,,0.0
10,SRC_0011,2025-12-01,31876.0,,3862.0,16.0,,,0.0
10,SRC_0013,2026-01-01,31876.0,,3933.0,16.0,,,0.0
10,SRC_0012,2026-02-01,31876.0,,4119.0,17.0,,,0.0
11,SRC_0012,2026-02-01,21030.0,,8531.0,0.0,,,0.0
12,SRC_0014,2025-07-01,20718.0,33413.0,31768.0,93.0,,,0.0
12,SRC_0010,2025-08-01,20718.0,33413.0,31768.0,93.0,,,0.0
12,SRC_0021,2025-09-01,20718.0,33413.0,31861.0,93.0,,,0.0
12,SRC_0020,2025-10-01,20718.0,33413.0,31861.0,93.0,,,0.0
12,SRC_0019,2025-11-01,20718.0,33413.0,31861.0,93.0,,,0.0
12,SRC_0011,2025-12-01,20718.0,33413.0,31861.0,93.0,,,0.0
12,SRC_0013,2026-01-01,20718.0,33413.0,31861.0,93.0,,,0.0
12,SRC_0012,2026-02-01,20718.0,33413.0,31861.0,93.0,,,0.0
13,SRC_0014,2025-07-01,10151.0,55549.0,24348.0,83.0,,,0.0
13,SRC_0010,2025-08-01,10151.0,55549.0,24348.0,83.0,,,0.0
13,SRC_0021,2025-09-01,10151.0,55549.0,24746.0,84.0,,,0.0
13,SRC_0020,2025-10-01,10151.0,55549.0,24838.0,84.0,,,0.0
13,SRC_0019,2025-11-01,10151.0,55549.0,25292.0,84.0,,,0.0
13,SRC_0011,2025-12-01,10151.0,55549.0,25834.0,84.0,,,0.0
13,SRC_0013,2026-01-01,10151.0,55549.0,25939.0,84.0,,,0.0
13,SRC_0012,2026-02-01,10151.0,55549.0,26152.0,85.0,,,0.0
14,SRC_0014,2025-07-01,8201.0,14730.0,4559.0,87.0,,,0.0
14,SRC_0010,2025-08-01,8201.0,14730.0,4559.0,87.0,,,0.0
14,SRC_0021,2025-09-01,8201.0,14730.0,4559.0,87.0,,,0.0
14,SRC_0020,2025-10-01,8201.0,14730.0,4665.0,87.0,,,0.0
14,SRC_0019,2025-11-01,8201.0,14730.0,4665.0,87.0,,,0.0
14,SRC_0011,2025-12-01,8201.0,14730.0,4665.0,87.0,,,0.0
14,SRC_0013,2026-01-01,8201.0,14730.0,4665.0,87.0,,,0.0
14,SRC_0012,2026-02-01,8201.0,14730.0,4665.0,87.0,,,0.0
15,SRC_0014,2025-07-01,7223.0,,8501.0,90.0,,,0.0
15,SRC_0010,2025-08-01,7223.0,,8501.0,90.0,,,0.0
15,SRC_0021,2025-09-01,7223.0,,8723.0,90.0,,,0.0
15,SRC_0020,2025-10-01,7223.0,,8723.0,90.0,,,0.0
15,SRC_0019,2025-11-01,7223.0,,9035.0,90.0,,,0.0
15,SRC_0011,2025-12-01,7223.0,,9349.0,91.0,,,0.0
15,SRC_0013,2026-01-01,7223.0,,9391.0,91.0,,,0.0
15,SRC_0012,2026-02-01,7223.0,,9391.0,91.0,,,0.0
16,SRC_0014,2025-07-01,61109.0,188000.0,41486.0,80.52,,,0.0
16,SRC_0010,2025-08-01,61109.0,188000.0,41486.0,81.0,,,0.0
16,SRC_0021,2025-09-01,61109.0,188000.0,41486.0,81.0,,,0.0
16,SRC_0020,2025-10-01,61109.0,188000.0,46432.0,81.0,,,0.0
16,SRC_0019,2025-11-01,61109.0,188000.0,46432.0,81.0,,,0.0
16,SRC_0011,2025-12-01,61109.0,188000.0,46432.0,81.0,,,0.0
16,SRC_0013,2026-01-01,61109.0,188000.0,46432.0,81.0,,,0.0
16,SRC_0012,2026-02-01,61109.0,188000.0,46432.0,81.0,,,0.0
17,SRC_0014,2025-07-01,28466.0,19592.0,8333.0,92.0,,,0.0
17,SRC_0010,2025-08-01,28466.0,19592.0,8390.0,96.0,,,0.0
17,SRC_0021,2025-09-01,28466.0,19592.0,8419.0,96.0,,,0.0
17,SRC_0020,2025-10-01,28466.0,19592.0,8419.0,96.0,,,0.0
17,SRC_0019,2025-11-01,28466.0,19592.0,8471.0,97.0,,,0.0
17,SRC_0011,2025-12-01,28466.0,19592.0,8471.0,97.0,,,0.0
17,SRC_0013,2026-01-01,28466.0,19592.0,8471.0,97.0,,,0.0
17,SRC_0012,2026-02-01,28466.0,19592.0,8471.0,97.0,,,0.0
18,SRC_0014,2025-07-01,26316.0,30620.0,9292.0,72.0,,,0.0
18,SRC_0010,2025-08-01,26316.0,30620.0,9792.0,73.0,,,0.0
18,SRC_0021,2025-09-01,26316.0,30620.0,9792.0,75.0,,,0.0
18,SRC_0020,2025-10-01,26316.0,30620.0,9792.0,76.0,,,0.0
18,SRC_0019,2025-11-01,26316.0,30620.0,9792.0,78.0,,,0.0
18,SRC_0011,2025-12-01,26316.0,30620.0,9792.0,80.0,,,0.0
18,SRC_0013,2026-01-01,26316.0,30620.0,9792.0,82.0,,,0.0
18,SRC_0012,2026-02-01,26316.0,30620.0,9792.0,83.0,,,0.0
19,SRC_0014,2025-07-01,24545.0,,8333.0,96.0,,,0.0
19,SRC_0010,2025-08-01,24545.0,,8391.0,96.0,,,0.0
19,SRC_0021,2025-09-01,24545.0,,8420.0,96.0,,,0.0
19,SRC_0020,2025-10-01,24545.0,,8448.0,97.0,,,0.0
19,SRC_0019,2025-11-01,24545.0,,8472.0,97.0,,,0.0
19,SRC_0011,2025-12-01,24545.0,,8472.0,97.0,,,0.0
19,SRC_0013,2026-01-01,24545.0,,8472.0,97.0,,,0.0
19,SRC_0012,2026-02-01,24545.0,,8472.0,97.0,,,0.0
20,SRC_0014,2025-07-01,3685.0,,1101.0,79.0,,,0.0
20,SRC_0010,2025-08-01,3685.0,,1101.0,79.0,,,0.0
20,SRC_0021,2025-09-01,3685.0,,1135.0,80.0,,,0.0
20,SRC_0020,2025-10-01,3685.0,,1135.0,81.0,,,0.0
20,SRC_0019,2025-11-01,3685.0,,1203.0,82.0,,,0.0
20,SRC_0011,2025-12-01,3685.0,,1332.0,82.0,,,0.0
20,SRC_0013,2026-01-01,3685.0,,1343.0,83.0,,,0.0
20,SRC_0012,2026-02-01,3685.0,,1357.0,83.0,,,0.0
21,SRC_0014,2025-07-01,32850.0,,0.0,0.0,,,0.0
21,SRC_0010,2025-08-01,32850.0,,0.0,0.0,,,0.0
21,SRC_0021,2025-09-01,32850.0,,0.0,0.0,,,0.0
21,SRC_0020,2025-10-01,32850.0,,0.0,0.0,,,0.0
21,SRC_0019,2025-11-01,32850.0,,0.0,0.0,,,0.0
21,SRC_0011,2025-12-01,32850.0,,0.0,0.0,,,0.0
21,SRC_0013,2026-01-01,32850.0,32841.0,12339.0,43.0,,,0.0
21,SRC_0012,2026-02-01,32850.0,32841.0,12975.0,45.0,,,0.0
22,SRC_0019,2025-11-01,4441.0,,25.0,61.0,,,0.0
22,SRC_0011,2025-12-01,4441.0,,25.0,61.0,,,0.0
22,SRC_0013,2026-01-01,4441.0,,25.0,61.0,,,0.0
22,SRC_0012,2026-02-01,4441.0,,25.0,61.0,,,0.0
26,SRC_0013,2026-01-01,25560.0,,28.0,0.0,,,0.0
26,SRC_0012,2026-02-01,25560.0,,56.0,0.0,,,0.0
27,SRC_0014,2025-07-01,11816.0,,5329.0,77.0,,,0.0
27,SRC_0010,2025-08-01,11816.0,,5329.0,77.0,,,0.0
27,SRC_0021,2025-09-01,11816.0,,6677.0,78.0,,,0.0
27,SRC_0020,2025-10-01,11816.0,,6687.0,78.0,,,0.0
27,SRC_0019,2025-11-01,11816.0,,6711.0,78.0,,,0.0
27,SRC_0011,2025-12-01,11816.0,,6813.0,78.0,,,0.0
27,SRC_0013,2026-01-01,11816.0,,6822.0,78.0,,,0.0
27,SRC_0012,2026-02-01,11816.0,,6847.0,78.0,,,0.0
28,SRC_0010,2025-08-01,8416.0,6108.0,1709.0,17.0,,,0.0
28,SRC_0021,2025-09-01,8416.0,6108.0,1730.0,17.0,,,0.0
28,SRC_0020,2025-10-01,8416.0,6108.0,1735.0,17.0,,,0.0
28,SRC_0019,2025-11-01,8416.0,6108.0,1742.0,17.0,,,0.0
28,SRC_0011,2025-12-01,8416.0,6108.0,1746.0,17.0,,,0.0
28,SRC_0013,2026-01-01,8416.0,6108.0,1751.0,31.0,,,0.0
28,SRC_0012,2026-02-01,8416.0,6108.0,1765.0,31.0,,,0.0
29,SRC_0014,2025-07-01,7254.0,,1535.0,38.0,,,0.0
29,SRC_0010,2025-08-01,7254.0,,1535.0,38.0,,,0.0
29,SRC_0021,2025-09-01,7254.0,,1548.0,38.0,,,0.0
29,SRC_0020,2025-10-01,7254.0,,1601.0,38.0,,,0.0
29,SRC_0019,2025-11-01,7254.0,,1601.0,38.0,,,0.0
29,SRC_0011,2025-12-01,7254.0,,1599.0,38.0,,,0.0
29,SRC_0013,2026-01-01,7254.0,,1619.0,38.0,,,0.0
29,SRC_0012,2026-02-01,7254.0,,1628.0,38.0,,,0.0
30,SRC_0020,2025-10-01,5940.0,,0.0,8.0,,,0.0
30,SRC_0019,2025-11-01,5940.0,,1.0,12.0,,,0.0
30,SRC_0011,2025-12-01,5940.0,,26.0,19.0,,,0.0
30,SRC_0013,2026-01-01,5940.0,,30.0,21.0,,,0.0
30,SRC_0012,2026-02-01,5940.0,,40.0,22.0,,,0.0
31,SRC_0011,2025-12-01,6809.0,6809.0,,0.0,,,0.0
31,SRC_0013,2026-01-01,6809.0,6809.0,3148.0,66.0,,,0.0
32,SRC_0011,2025-12-01,6292.0,3352.0,421.0,13.0,,,0.0
32,SRC_0013,2026-01-01,6292.0,3352.0,458.0,14.0,,,0.0
32,SRC_0012,2026-02-01,6292.0,3352.0,502.0,16.0,,,0.0
33,SRC_0013,2026-01-01,5729.0,5729.0,1.0,0.0,,,0.0
