source_id,status,tables_extracted,pages_processed,pages_failed,canonical_source_id,notes
SRC_0001,SUCCESS,94,64,0,SRC_0001,
SRC_0002,SUCCESS,68,44,0,SRC_0002,
SRC_0003,SUCCESS,64,49,0,SRC_0003,
SRC_0004,SUCCESS,67,44,0,SRC_0004,
SRC_0005,SUCCESS,67,44,0,SRC_0005,
SRC_0006,SUCCESS,82,56,0,SRC_0006,
SRC_0007,SUCCESS,72,50,0,SRC_0007,
SRC_0008,SUCCESS,63,47,0,SRC_0008,
SRC_0009,SUCCESS,160,163,0,SRC_0009,
SRC_0010,SUCCESS,132,67,0,SRC_0010,
SRC_0011,SUCCESS,210,108,0,SRC_0011,
SRC_0012,SUCCESS,328,168,0,SRC_0012,
SRC_0013,SUCCESS,259,134,0,SRC_0013,
SRC_0014,SUCCESS,129,67,0,SRC_0014,
SRC_0015,SUCCESS,151,153,0,SRC_0015,
SRC_0016,SUCCESS,158,161,0,SRC_0016,
SRC_0017,SUCCESS,305,157,0,SRC_0017,
SRC_0018,SUCCESS,160,163,0,SRC_0018,
SRC_0019,SUCCESS,142,73,0,SRC_0019,
SRC_0020,SUCCESS,141,73,0,SRC_0020,
SRC_0021,SUCCESS,139,72,0,SRC_0021,
SRC_0022,SUCCESS,230,234,0,SRC_0022,
SRC_0023,SUCCESS,208,212,0,SRC_0023,
SRC_0024,SUCCESS,269,273,0,SRC_0024,
SRC_0025,SUCCESS,257,261,0,SRC_0025,
SRC_0026,SUCCESS,66,59,0,SRC_0026,
SRC_0027,SUCCESS,62,56,0,SRC_0027,
SRC_0028,SUCCESS,63,60,0,SRC_0028,
SRC_0029,SUCCESS,81,58,0,SRC_0029,
SRC_0030,SUCCESS,63,64,0,SRC_0030,
SRC_0031,SUCCESS,55,33,0,SRC_0031,
SRC_0032,SUCCESS,36,26,0,SRC_0032,
SRC_0033,SUCCESS,36,25,0,SRC_0033,
SRC_0034,SUCCESS,63,29,0,SRC_0034,
SRC_0035,SUCCESS,40,37,0,SRC_0035,
SRC_0036,SUCCESS,93,47,0,SRC_0036,
SRC_0037,SUCCESS,92,46,0,SRC_0037,
SRC_0038,SUCCESS,69,44,0,SRC_0038,
SRC_0039,SUCCESS,64,39,0,SRC_0039,
SRC_0040,SUCCESS,93,42,0,SRC_0040,
SRC_0041,SUCCESS,96,42,0,SRC_0041,
SRC_0042,SUCCESS,92,47,0,SRC_0042,
SRC_0043,SUCCESS,92,46,0,SRC_0043,
SRC_0044,SUCCESS,93,47,0,SRC_0044,
SRC_0045,SKIPPED_DUPLICATE,0,0,0,SRC_0002,Duplicate of SRC_0002
SRC_0046,SKIPPED_DUPLICATE,0,0,0,SRC_0003,Duplicate of SRC_0003
SRC_0047,SUCCESS,64,38,0,SRC_0047,
SRC_0048,SUCCESS,91,42,0,SRC_0048,
SRC_0049,SUCCESS,93,46,0,SRC_0049,
SRC_0050,SUCCESS,91,47,0,SRC_0050,
SRC_0051,SKIPPED_DUPLICATE,0,0,0,SRC_0004,Duplicate of SRC_0004
SRC_0052,SUCCESS,64,38,0,SRC_0052,
SRC_0053,SUCCESS,93,42,0,SRC_0053,
SRC_0054,SUCCESS,94,47,0,SRC_0054,
SRC_0055,SUCCESS,89,47,0,SRC_0055,
SRC_0056,SUCCESS,92,46,0,SRC_0056,
SRC_0057,SUCCESS,91,46,0,SRC_0057,
SRC_0058,SKIPPED_DUPLICATE,0,0,0,SRC_0005,Duplicate of SRC_0005
SRC_0059,SUCCESS,64,38,0,SRC_0059,
SRC_0060,SUCCESS,93,42,0,SRC_0060,
SRC_0061,SUCCESS,64,40,0,SRC_0061,
SRC_0062,SUCCESS,94,41,0,SRC_0062,
SRC_0063,SUCCESS,93,42,0,SRC_0063,
SRC_0064,SUCCESS,95,47,0,SRC_0064,
SRC_0065,SUCCESS,94,46,0,SRC_0065,
SRC_0066,SUCCESS,96,44,0,SRC_0066,
SRC_0067,SUCCESS,95,47,0,SRC_0067,
SRC_0068,SUCCESS,91,46,0,SRC_0068,
SRC_0069,SUCCESS,70,44,0,SRC_0069,
SRC_0070,SUCCESS,62,35,0,SRC_0070,
SRC_0071,SUCCESS,95,41,0,SRC_0071,
SRC_0072,SUCCESS,94,42,0,SRC_0072,
SRC_0073,SUCCESS,95,47,0,SRC_0073,
SRC_0074,SUCCESS,92,46,0,SRC_0074,
SRC_0075,SUCCESS,66,44,0,SRC_0075,
SRC_0076,SUCCESS,64,38,0,SRC_0076,
SRC_0077,SUCCESS,94,42,0,SRC_0077,
SRC_0078,SUCCESS,96,46,0,SRC_0078,
SRC_0079,SKIPPED_DUPLICATE,0,0,0,SRC_0008,Duplicate of SRC_0008
SRC_0080,SKIPPED_DUPLICATE,0,0,0,SRC_0008,Duplicate of SRC_0008
SRC_0081,SUCCESS,65,38,0,SRC_0081,
SRC_0082,SUCCESS,64,38,0,SRC_0082,
SRC_0083,SUCCESS,95,42,0,SRC_0083,
SRC_0084,SUCCESS,92,47,0,SRC_0084,
SRC_0085,SUCCESS,94,46,0,SRC_0085,
SRC_0086,SUCCESS,93,43,0,SRC_0086,
SRC_0087,SUCCESS,88,47,0,SRC_0087,
SRC_0088,SUCCESS,93,46,0,SRC_0088,
SRC_0089,SUCCESS,93,46,0,SRC_0089,
SRC_0090,SUCCESS,66,44,0,SRC_0090,
SRC_0091,SUCCESS,92,41,0,SRC_0091,
SRC_0092,SUCCESS,95,42,0,SRC_0092,
SRC_0093,SUCCESS,94,46,0,SRC_0093,
SRC_0094,SUCCESS,94,46,0,SRC_0094,
SRC_0095,SUCCESS,67,43,0,SRC_0095,
SRC_0096,SUCCESS,65,40,0,SRC_0096,
SRC_0097,SUCCESS,91,41,0,SRC_0097,
SRC_0098,SUCCESS,93,47,0,SRC_0098,
SRC_0099,SUCCESS,93,46,0,SRC_0099,
SRC_0100,SUCCESS,67,44,0,SRC_0100,
SRC_0101,SUCCESS,93,42,0,SRC_0101,
SRC_0102,SUCCESS,64,41,0,SRC_0102,
SRC_0103,SUCCESS,93,41,0,SRC_0103,
SRC_0104,SKIPPED_DUPLICATE,0,0,0,SRC_0009,Duplicate of SRC_0009
SRC_0105,SKIPPED_DUPLICATE,0,0,0,SRC_0015,Duplicate of SRC_0015
SRC_0106,SKIPPED_DUPLICATE,0,0,0,SRC_0016,Duplicate of SRC_0016
SRC_0107,SKIPPED_DUPLICATE,0,0,0,SRC_0018,Duplicate of SRC_0018
SRC_0108,SKIPPED_DUPLICATE,0,0,0,SRC_0031,Duplicate of SRC_0031
SRC_0109,SKIPPED_DUPLICATE,0,0,0,SRC_0032,Duplicate of SRC_0032
SRC_0110,SKIPPED_DUPLICATE,0,0,0,SRC_0033,Duplicate of SRC_0033
SRC_0111,SKIPPED_DUPLICATE,0,0,0,SRC_0034,Duplicate of SRC_0034
SRC_0112,SKIPPED_DUPLICATE,0,0,0,SRC_0035,Duplicate of SRC_0035
SRC_0113,SKIPPED_DUPLICATE,0,0,0,SRC_0036,Duplicate of SRC_0036
SRC_0114,SKIPPED_DUPLICATE,0,0,0,SRC_0037,Duplicate of SRC_0037
SRC_0115,SKIPPED_DUPLICATE,0,0,0,SRC_0038,Duplicate of SRC_0038
SRC_0116,SKIPPED_DUPLICATE,0,0,0,SRC_0039,Duplicate of SRC_0039
SRC_0117,SKIPPED_DUPLICATE,0,0,0,SRC_0040,Duplicate of SRC_0040
SRC_0118,SKIPPED_DUPLICATE,0,0,0,SRC_0041,Duplicate of SRC_0041
SRC_0119,SKIPPED_DUPLICATE,0,0,0,SRC_0042,Duplicate of SRC_0042
SRC_0120,SKIPPED_DUPLICATE,0,0,0,SRC_0043,Duplicate of SRC_0043
SRC_0121,SKIPPED_DUPLICATE,0,0,0,SRC_0044,Duplicate of SRC_0044
SRC_0122,SKIPPED_DUPLICATE,0,0,0,SRC_0002,Duplicate of SRC_0002
SRC_0123,SKIPPED_DUPLICATE,0,0,0,SRC_0003,Duplicate of SRC_0003
SRC_0124,SKIPPED_DUPLICATE,0,0,0,SRC_0047,Duplicate of SRC_0047
SRC_0125,SKIPPED_DUPLICATE,0,0,0,SRC_0048,Duplicate of SRC_0048
SRC_0126,SKIPPED_DUPLICATE,0,0,0,SRC_0049,Duplicate of SRC_0049
SRC_0127,SKIPPED_DUPLICATE,0,0,0,SRC_0050,Duplicate of SRC_0050
SRC_0128,SKIPPED_DUPLICATE,0,0,0,SRC_0004,Duplicate of SRC_0004
SRC_0129,SKIPPED_DUPLICATE,0,0,0,SRC_0052,Duplicate of SRC_0052
SRC_0130,SKIPPED_DUPLICATE,0,0,0,SRC_0053,Duplicate of SRC_0053
SRC_0131,SKIPPED_DUPLICATE,0,0,0,SRC_0054,Duplicate of SRC_0054
SRC_0132,SKIPPED_DUPLICATE,0,0,0,SRC_0055,Duplicate of SRC_0055
SRC_0133,SKIPPED_DUPLICATE,0,0,0,SRC_0056,Duplicate of SRC_0056
