Observation_SK,Project_Code,Project_Name,Report_Date,Original_Cost,Revised_Cost,Anticipated_Cost,Cumulative_Expenditure,Financial_Progress_Pct,Time_Elapsed_Pct,Schedule_Delay_Months,Target_Is_Delayed
51,,MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT- 508 KM,August 2025,108000.0,108000.0,,79919.0,73.99907407407407,,,0
52,,CHENNAI METRO RAIL PHASE-II DEVELOPMENT PROJECT,August 2025,63246.0,,,26410.0,,,,0
53,,WESTERN DEDICATED FREIGHT CORRIDOR,August 2025,51101.0,124005.0,,124623.0,100.49836700133059,,,0
54,,RISHIKESH-KARNAPRAYAG NEW RAIL LINE- 125 KM,August 2025,38953.0,38953.0,,24645.0,63.26855441172695,,,0
55,,MUMBAI URBAN TRANSPORT PROJECT [MUTP] PHASE-IIIA,August 2025,33690.0,33690.0,,2303.0,6.835856337192045,,,0
56,,"ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING
DOWNSTREAM PETROCHEMICAL PLANTS AND EXPANSION OF
REFINERY",August 2025,43367.0,43367.0,,1856.0,4.279751885073904,,,0
57,,RAJASTHAN REFINERY PROJECT,August 2025,43129.0,79459.0,,60295.0,75.88190135793302,,,0
58,,"CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25
MMTPA",August 2025,34627.0,36225.0,,24355.0,67.23257418909593,,,0
59,,KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK,August 2025,34012.0,34012.0,,33238.0,97.72433258849817,,,0
60,,DIBANG MULTIPURPOSE PROJECT,August 2025,31876.0,,,3554.0,,,,0
61,,SARDAR SAROVAR PROJECT,August 2025,20718.0,33413.0,,31768.0,95.07676652799807,,,0
62,,POLAVARAM IRRIGATION PROJECT,August 2025,10151.0,55549.0,,24348.0,43.83157212551081,,,0
63,,J. CHOKKA RAO DEVADULA LIFT IRRIGATION SCHEME,August 2025,8201.0,14730.0,,4559.0,30.950441276306854,,,0
64,,JIGAON IRRIGATION PROJECT,August 2025,7223.0,,,8501.0,,,,0
65,,GOSIKHURD PROJECT,August 2025,7196.0,12770.0,,13533.0,105.97494126859827,,,0
66,,BHARATNET,August 2025,61109.0,188000.0,,41486.0,22.067021276595746,,,0
67,,4G SERVICES BY BSNL,August 2025,28466.0,19592.0,,8390.0,42.82360146998775,,,0
68,,"SATURATION 4G MOBILE COVERAGE OF UNCOVERED VILLAGES
THROUGH USOF",August 2025,26316.0,30620.0,,9792.0,31.979098628347487,,,0
69,,"PLANNING, ENGINEERING, SUPPLY, INSTALLATION, TESTING,
COMMISSIONING, INTEGRATION & ANNUAL MAINTENANCE OF 4G
MOBILE NETWORK AT 1 LAKH SITES ON PAN INDIA BASIS
INCLUDING MUMBAI & DELHI LSA ON TURNKEY BASIS UNDER
PHASE IX.2 PROJECT.",August 2025,24545.0,,,8391.0,,,,0
70,,"PROVISION OF 4G BASED MOBILE SERVICES IN 7,287 UNCOVERED
VILLAGES OF 44 ASPIRATIONAL DISTRICT ACROSS 5 STATES OF
ANDHRA PRADESH, CHHATTISGARH, JHARKHAND, MAHARASHTRA
& ODISHA",August 2025,3685.0,,,1101.0,,,,0
71,,"REDEVELOPMENT OF SEVEN GENERAL POOL RESIDENTIAL
ACCOMMODATION [GPRA] COLONIES IN DELHI",August 2025,32850.0,,,0.0,,,,0
