source_id,filename,relative_path,file_type,file_size,content_hash,source_family,report_type,report_date,reporting_period,publication_date,revision_information,historical_current_classification,duplicate_group,official_match,extraction_status,pages,tables_detected,figures_detected,extraction_method,processing_version,processing_timestamp,source_confidence,notes
SRC_0001,CompleteReviewReportAugust2025.pdf,Primary datasets\CompleteReviewReportAugust2025.pdf,pdf,4979416,d215c4cb1cd0b9c4250e073414289dcf59158a01fa71449de1315b98faf172ad,SECTOR_PERFORMANCE,SECTOR_PERFORMANCE_REVIEW,August 2025,,,,CURRENT,,,PENDING,64,0,0,,0.1.0,2026-09-12T12:21:26.625566+00:00,HIGH,
SRC_0002,CompleteReviewReportDec2020.pdf,Primary datasets\CompleteReviewReportDec2020.pdf,pdf,9189120,632ce703e074de6120a681692b9733b2ff77b6d871360ac7612aae64b71e4b9d,SECTOR_PERFORMANCE,SECTOR_PERFORMANCE_REVIEW,Dec 2020,,,,CURRENT,DUP_001,,PENDING,44,0,0,,0.1.0,2026-09-12T12:21:26.673995+00:00,HIGH,
SRC_0003,CompleteReviewReportDec2023.pdf,Primary datasets\CompleteReviewReportDec2023.pdf,pdf,4954555,8cd18bc8caa37aac5279a9a6b9cb9f5b114dfd337db2fce9d765ed59aec03b0f,SECTOR_PERFORMANCE,SECTOR_PERFORMANCE_REVIEW,Dec 2023,,,,CURRENT,DUP_002,,PENDING,49,0,0,,0.1.0,2026-09-12T12:21:26.713079+00:00,HIGH,
SRC_0004,CompleteReviewReportFeb2021.pdf,Primary datasets\CompleteReviewReportFeb2021.pdf,pdf,13715859,6d0aa36fa3ad4e1a93ecc8a0eb60a9a595c06123501389e91a7b82606d9b7cf3,SECTOR_PERFORMANCE,SECTOR_PERFORMANCE_REVIEW,Feb 2021,,,,CURRENT,DUP_003,,PENDING,44,0,0,,0.1.0,2026-09-12T12:21:26.765627+00:00,HIGH,
SRC_0005,CompleteReviewReportJan2021.pdf,Primary datasets\CompleteReviewReportJan2021.pdf,pdf,10109296,b79ba2f9a7681ed1095de0f033b18cfe69b73383d4725dfdcfe43b49e4141d2c,SECTOR_PERFORMANCE,SECTOR_PERFORMANCE_REVIEW,Jan 2021,,,,CURRENT,DUP_004,,PENDING,44,0,0,,0.1.0,2026-09-12T12:21:26.814467+00:00,HIGH,
SRC_0006,CompleteReviewReportJuly2025.pdf,Primary datasets\CompleteReviewReportJuly2025.pdf,pdf,4161773,0b1f333c3bef2d82b1e5aac2b5c05722110e058f12616a6d9e7051e4b752177b,SECTOR_PERFORMANCE,SECTOR_PERFORMANCE_REVIEW,July 2025,,,,CURRENT,,,PENDING,56,0,0,,0.1.0,2026-09-12T12:21:26.867690+00:00,HIGH,
SRC_0007,CompleteReviewReportJune2025.pdf,Primary datasets\CompleteReviewReportJune2025.pdf,pdf,4168757,1006e89776e76096ce749557d1a6b8d8ad05d2297d6807395bba560b991bf6b6,SECTOR_PERFORMANCE,SECTOR_PERFORMANCE_REVIEW,June 2025,,,,CURRENT,,,PENDING,50,0,0,,0.1.0,2026-09-12T12:21:26.912873+00:00,HIGH,
SRC_0008,CompleteReviewReportMarch2025.pdf,Primary datasets\CompleteReviewReportMarch2025.pdf,pdf,4550305,eec39ba3b6e0c7d92994e26c788de0a7937cd841e40b3ca7aa48052cdb1b14ab,SECTOR_PERFORMANCE,SECTOR_PERFORMANCE_REVIEW,March 2025,,,,CURRENT,DUP_005,,PENDING,47,0,0,,0.1.0,2026-09-12T12:21:26.945615+00:00,HIGH,
SRC_0009,FlashReport_April2026 (2).pdf,Primary datasets\FlashReport_April2026 (2).pdf,pdf,3215216,90a6959e976da6928440efdea9c68847d1178356e4c0ebd078c51026ddb118d5,PROJECT_MONITORING,FLASH_REPORT,April 2026,,,,CURRENT,DUP_006,,PENDING,163,0,0,,0.1.0,2026-09-12T12:21:26.951235+00:00,HIGH,
SRC_0010,FlashReport_August_2025.pdf,Primary datasets\FlashReport_August_2025.pdf,pdf,5791675,7b28c68ca1fd697f2856fa4b5c79b5c26fa6e8f0be4d0897cc105958e01bf2c8,PROJECT_MONITORING,FLASH_REPORT,August 2025,,,,CURRENT,,,PENDING,67,0,0,,0.1.0,2026-09-12T12:21:26.985758+00:00,HIGH,
