Project_SK,Normalized_Name,Original_Name_Sample,PAIMANA_ID,Project_Code
1,mumbai ahmedabad high speed rail project 508 km,MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT- 508 KM,705728,
2,chennai metro rail phase ii development project,CHENNAI METRO RAIL PHASE-II DEVELOPMENT PROJECT,702668,
3,western dedicated freight corridor,WESTERN DEDICATED FREIGHT CORRIDOR,705237,
4,rishikesh karnaprayag new rail line 125 km,RISHIKESH-KARNAPRAYAG NEW RAIL LINE- 125 KM,705429,
5,mumbai urban transport project mutp phase iiia,MUMBAI URBAN TRANSPORT PROJECT [MUTP] PHASE-IIIA,706780,
6,ethylene cracker project at bina refinery including downstream petrochemical plants and expansion of refinery,"ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING
DOWNSTREAM PETROCHEMICAL PLANTS AND EXPANSION OF
REFINERY",709798,
7,rajasthan refinery project,RAJASTHAN REFINERY PROJECT,701263,
8,capacity expansion of panipat refinery from 15 to 25 mmtpa,"CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25
MMTPA",701289,
9,kg dwn 98 2 cluster ii development project nelp block,KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK,400120,
10,dibang multipurpose project,DIBANG MULTIPURPOSE PROJECT,602182,
11,ken betwa linking development project,KEN-BETWA LINKING DEVELOPMENT PROJECT,701530,
12,sardar sarovar project,SARDAR SAROVAR PROJECT,701372,
13,polavaram irrigation project,POLAVARAM IRRIGATION PROJECT,701415,
14,j chokka rao devadula lift irrigation scheme,J. CHOKKA RAO DEVADULA LIFT IRRIGATION SCHEME,701405,
15,jigaon irrigation project,JIGAON IRRIGATION PROJECT,400112,
16,bharatnet,BHARATNET,706775,
17,4g services by bsnl,4G SERVICES BY BSNL,701593,
18,saturation 4g mobile coverage of uncovered villages through usof,"SATURATION 4G MOBILE COVERAGE OF UNCOVERED VILLAGES
THROUGH USOF",400013,
19,planning engineering supply installation testing commissioning integration annual maintenance of 4g mobile network at 1 lakh sites on pan india basis including mumbai delhi lsa on turnkey basis under phase ix 2 project,"PLANNING, ENGINEERING, SUPPLY, INSTALLATION, TESTING,
COMMISSIONING, INTEGRATION & ANNUAL MAINTENANCE OF 4G
MOBILE NETWORK AT 1 LAKH SITES ON PAN INDIA BASIS
INCLUDING MUMBAI & DELHI LSA ON TURNKEY BASIS UNDER
PHASE IX.2 PROJECT.",709857,
